timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718096524046,571,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5672,167,1,1,http://192.168.196.143:3000/title_basics?title=The%20Hurt%20Locker&page=1,570,0,63
1718096525002,179,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7222,153,1,1,http://192.168.196.143:3000/title_basics?title=X-Men&page=1,177,0,0
1718096525602,345,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6342,156,1,1,http://192.168.196.143:3000/title_basics?title=Snowfall&page=1,345,0,0
1718096526377,493,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,4579,210,1,1,http://192.168.196.143:3000/title_basics?title=Star%20Wars:%20Episode%20V%20-%20The%20Empire%20Strikes%20Back&page=1,493,0,0
1718096527280,305,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7148,159,1,1,http://192.168.196.143:3000/title_basics?title=Red%20Dwarf&page=1,305,0,0
1718096528008,158,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5778,152,1,1,http://192.168.196.143:3000/title_basics?title=Dune&page=1,155,0,0
1718096528573,402,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,3150,178,1,1,http://192.168.196.143:3000/title_basics?title=300:%20Rise%20of%20an%20Empire&page=1,402,0,0
1718096529383,200,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5922,154,1,1,http://192.168.196.143:3000/title_basics?title=Traces&page=1,198,0,0
1718096529988,390,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,1778,180,1,1,http://192.168.196.143:3000/title_basics?title=The%20Sponge%20Who%20Could%20Fly&page=1,390,0,0
1718096530795,477,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5469,156,1,1,http://192.168.196.143:3000/title_basics?title=Cars%203&page=1,477,0,0
1718096531674,416,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,1202,196,1,1,http://192.168.196.143:3000/title_basics?title=Sentenced%20to%20Boil!%20Oden's%20Deadly%20Hour!&page=1,416,0,0
1718096532488,129,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,5695,153,1,1,http://192.168.196.143:3000/title_basics?title=Chaos&page=1,127,0,0
1718096533025,499,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6495,152,1,1,http://192.168.196.143:3000/title_basics?title=Skam&page=1,499,0,0
1718096533950,495,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,6941,160,2,2,http://192.168.196.143:3000/title_basics?title=First%20Kill&page=1,495,0,0
1718096534043,488,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5502,167,2,2,http://192.168.196.143:3000/title_basics?title=The%20Hurt%20Locker&page=1,487,0,43
1718096534937,120,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,5339,153,2,2,http://192.168.196.143:3000/title_basics?title=X-Men&page=1,120,0,0
1718096534855,511,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,7882,168,2,2,http://192.168.196.143:3000/title_basics?title=The%20Green%20Hornet&page=1,511,0,0
1718096535471,320,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-2,text,true,,6801,156,2,2,http://192.168.196.143:3000/title_basics?title=Snowfall&page=1,320,0,0
1718096535781,404,TitleBasics by primary_title,200,OK,TitleBasics by primary_title 1-1,text,true,,1183,199,2,2,http://192.168.196.143:3000/title_basics?title=C.S.A.:%20The%20Confederate%20States%20of%20America&page=1,404,0,0
